#run:fill,time,nls,ncms,delivered(/fb),recorded(/fb)
380649:9618,05/13/24 01:56:15,401,401,0.168912668,0.159359458
380933:9651,05/19/24 16:19:32,773,773,0.012026086,0.011886862
380945:9653,05/20/24 06:39:35,245,245,0.100661698,0.094984174
380947:9653,05/20/24 11:38:49,823,823,0.264397583,0.256442339
380963:9654,05/20/24 20:42:43,922,922,0.371882883,0.354684763
381022:9659,05/21/24 23:53:15,586,586,0.214167437,0.202525362
381053:9661,05/22/24 09:14:55,108,108,0.033847071,0.032355940
381065:9662,05/22/24 12:16:48,791,791,0.350896167,0.328507047
381067:9662,05/22/24 17:33:10,313,313,0.123708741,0.118860760
381069:9662,05/22/24 20:20:02,307,307,0.098575098,0.093564541
381070:9662,05/22/24 22:21:18,425,425,0.115851656,0.113297764
381075:9663,05/23/24 03:44:42,426,426,0.184056378,0.173486014
381078:9663,05/23/24 06:53:58,334,334,0.144260754,0.134776654
381079:9663,05/23/24 09:06:56,396,396,0.139029667,0.132526351
381080:9663,05/23/24 11:44:26,336,336,0.098391363,0.094322214
381113:9664,05/23/24 18:23:22,238,234,0.094072637,0.087983609
381114:9664,05/23/24 20:11:10,458,458,0.210547463,0.196903116
381115:9664,05/23/24 23:12:32,1294,1294,0.407971763,0.395036440
381147:9666,05/24/24 11:18:29,186,186,0.075376924,0.070591424
381148:9666,05/24/24 12:38:03,264,264,0.124192747,0.116128225
381149:9666,05/24/24 14:31:15,133,133,0.062432824,0.058211305
381150:9666,05/24/24 15:25:36,42,41,0.019167148,0.017518065
381151:9666,05/24/24 15:45:18,851,851,0.305241806,0.290881692
381152:9666,05/24/24 21:19:14,193,193,0.052703735,0.051063315
381164:9667,05/25/24 00:51:30,1151,1151,0.518979491,0.485292849
381190:9670,05/25/24 13:16:44,1098,1098,0.493326905,0.461764142
381191:9670,05/25/24 20:25:58,1121,1121,0.335609512,0.325475207
381199:9672,05/26/24 09:25:18,150,150,0.056764611,0.052696453
381212:9674,05/27/24 04:02:15,372,372,0.167162649,0.156737286
381286:9677,05/27/24 16:09:15,711,711,0.325922761,0.301259101
381309:9680,05/28/24 06:47:14,425,425,0.192311089,0.180774982
