#run:fill,time,nls,ncms,delivered(/fb),recorded(/fb)
385728:10115,09/14/24 11:19:03,1108,1108,0.520018289,0.485584571
385738:10116,09/14/24 22:12:14,1701,1701,0.794954575,0.740663785
385739:10116,09/15/24 09:18:38,427,427,0.142447604,0.137202381
385754:10117,09/15/24 14:03:08,102,102,0.037832171,0.035059018
385764:10118,09/15/24 16:42:49,2216,2215,0.953628960,0.894213634
385799:10119,09/16/24 09:38:00,14,14,0.001947297,0.001739081
385801:10119,09/16/24 09:48:04,102,102,0.045739732,0.042701780
385836:10122,09/16/24 18:09:49,133,133,0.055084961,0.051838928
385842:10122,09/16/24 20:25:56,1958,1957,0.823998471,0.775502440
385863:10123,09/17/24 11:30:08,18,18,0.003415166,0.003182061
385882:10125,09/17/24 16:05:07,103,103,0.040211168,0.037882408
385887:10125,09/17/24 17:28:59,2,2,0.000956552,0.000670514
385888:10125,09/17/24 17:32:38,168,168,0.079325788,0.074568446
385889:10125,09/17/24 19:03:22,1637,1637,0.704342270,0.662574877
385908:10126,09/18/24 07:53:51,857,857,0.398309020,0.371630683
385915:10126,09/18/24 13:31:00,626,626,0.291886965,0.271180004
385933:10127,09/18/24 20:18:21,171,171,0.072312528,0.066001787
385934:10127,09/18/24 21:29:03,1229,1229,0.574259322,0.535336734
385986:10130,09/19/24 22:32:34,1995,1995,0.881769812,0.822547044
386006:10132,09/20/24 16:00:56,17,17,0.006286953,0.005508777
386008:10132,09/20/24 16:13:06,49,49,0.023038497,0.018711462
386010:10132,09/20/24 16:39:00,902,902,0.427030157,0.399767101
386025:10134,09/21/24 03:26:38,1858,1858,0.839464545,0.786410766
386279:10139,09/25/24 19:45:30,213,213,0.090608984,0.085630688
386285:10141,09/26/24 05:07:10,206,206,0.088821029,0.077891053
386308:10142,09/26/24 10:25:39,144,144,0.060664512,0.057026501
386313:10143,09/26/24 13:48:04,85,85,0.032404883,0.030763649
386319:10144,09/26/24 16:26:23,702,702,0.321985863,0.304880021
386478:10189,10/02/24 05:25:34,405,405,0.177307836,0.169060565
386505:10190,10/02/24 16:45:21,285,285,0.122307017,0.113142112
386509:10190,10/02/24 18:48:15,1032,1032,0.472553810,0.444940939
386553:10197,10/03/24 15:18:13,857,857,0.406073500,0.379080452
386554:10197,10/03/24 20:54:36,1005,1005,0.433192989,0.412413916
386592:10199,10/04/24 12:52:01,414,414,0.190561857,0.177865691
386593:10199,10/04/24 15:46:38,652,652,0.318274968,0.298663817
386594:10199,10/04/24 20:20:35,871,871,0.353906963,0.335072421
386604:10200,10/05/24 08:06:58,2002,2002,0.898405294,0.839477314
386605:10200,10/05/24 21:08:51,155,155,0.046244965,0.044711541
386614:10201,10/06/24 00:32:57,754,754,0.359024653,0.331437857
386615:10201,10/06/24 05:27:39,37,37,0.018022474,0.015984860
386616:10201,10/06/24 05:44:36,127,127,0.062064131,0.057227736
386617:10201,10/06/24 06:35:53,70,70,0.034196587,0.031707794
386618:10201,10/06/24 07:04:34,952,952,0.396845955,0.377383279
386629:10202,10/06/24 15:27:34,65,65,0.020315053,0.018559629
386630:10202,10/06/24 15:54:10,28,28,0.012779570,0.011608964
386640:10204,10/06/24 20:23:38,1161,1161,0.557072910,0.515849448
386642:10204,10/07/24 03:59:03,716,716,0.288644757,0.272393792
386661:10206,10/07/24 11:24:15,438,438,0.205469221,0.184320143
386668:10207,10/07/24 16:23:23,347,347,0.159575259,0.146234707
386672:10208,10/07/24 21:18:35,130,130,0.054559194,0.048535323
386673:10208,10/07/24 22:10:35,992,992,0.485013610,0.451952726
386679:10209,10/08/24 07:20:42,357,357,0.165919776,0.150953569
386693:10210,10/08/24 12:02:10,125,125,0.052288413,0.048488196
386694:10210,10/08/24 13:09:16,1319,1319,0.632541483,0.589415301
386702:10211,10/08/24 23:56:26,218,218,0.097274006,0.089946919
386703:10211,10/09/24 01:23:07,488,488,0.238333177,0.219819743
386704:10211,10/09/24 05:35:06,994,994,0.430846476,0.405837669
386705:10211,10/09/24 12:42:44,138,138,0.040804124,0.039047361
386764:10214,10/10/24 06:50:06,149,149,0.041368285,0.038799821
386795:10215,10/10/24 14:28:43,88,88,0.034444416,0.031951638
386801:10216,10/10/24 18:07:18,80,80,0.029899542,0.027152562
386814:10216,10/10/24 20:18:57,250,250,0.121924589,0.113816232
386851:10218,10/12/24 00:34:13,401,401,0.187264580,0.166200066
386852:10218,10/12/24 03:12:23,487,487,0.237535614,0.220571265
386853:10218,10/12/24 06:53:56,42,42,0.020512859,0.019249623
386854:10218,10/12/24 07:12:26,539,539,0.248046353,0.233102235
386863:10219,10/12/24 13:24:38,480,480,0.225406178,0.204703467
386864:10219,10/12/24 16:34:00,1491,1491,0.656834108,0.613288731
386872:10222,10/13/24 09:29:30,171,171,0.074273735,0.069331898
386873:10222,10/13/24 10:39:03,332,332,0.162098703,0.150748664
386885:10223,10/13/24 19:45:43,1368,1368,0.651333051,0.602317337
386917:10225,10/14/24 19:44:49,555,555,0.261517793,0.241078886
386924:10226,10/15/24 03:42:42,1783,1783,0.819281735,0.756947361
386925:10226,10/15/24 15:21:33,172,172,0.058402181,0.056197455
386945:10230,10/15/24 23:13:33,814,814,0.389133673,0.358957759
386951:10232,10/16/24 06:45:06,661,661,0.312982569,0.291935880
